age,job,education,housing,loan,output,marital
50,admin.,university.degree,no,no,yes,married
48,admin.,university.degree,yes,yes,yes,married
26,self-employed,university.degree,yes,no,no,single
37,services,basic.9y,yes,no,no,single
37,unemployed,university.degree,no,no,no,unknown
50,services,unknown,no,no,no,married
47,admin.,university.degree,yes,no,no,married
41,blue-collar,basic.9y,no,no,no,single
32,blue-collar,basic.9y,yes,no,no,single
38,services,basic.9y,no,yes,no,married
48,technician,professional.course,no,no,no,married
46,blue-collar,basic.4y,yes,no,no,married
48,self-employed,basic.9y,yes,no,no,married
38,unknown,high.school,yes,no,no,divorced
38,admin.,university.degree,yes,no,no,married
55,retired,basic.4y,no,yes,no,married
27,admin.,high.school,yes,yes,no,married
28,services,high.school,yes,no,no,married
29,blue-collar,basic.9y,no,no,no,single
47,services,basic.4y,no,no,no,divorced
34,student,basic.4y,yes,no,no,single
51,services,high.school,no,no,no,divorced
40,admin.,university.degree,yes,yes,no,divorced
38,admin.,high.school,yes,no,no,married
42,blue-collar,basic.4y,no,no,no,married
30,unemployed,university.degree,yes,yes,no,single
36,services,high.school,no,no,no,married
33,admin.,high.school,no,yes,no,single
47,management,university.degree,no,no,no,married
33,admin.,university.degree,yes,no,yes,married
30,services,basic.9y,yes,no,no,single
54,admin.,high.school,no,no,no,married
47,admin.,basic.9y,no,no,no,married
32,technician,university.degree,yes,no,no,single
32,blue-collar,basic.9y,yes,no,no,married
38,self-employed,basic.9y,yes,no,no,married
38,technician,high.school,no,no,no,single
38,unknown,unknown,yes,no,no,married
53,blue-collar,high.school,yes,no,no,married
26,unemployed,basic.9y,yes,no,no,single
27,blue-collar,basic.9y,unknown,unknown,no,married
38,admin.,university.degree,no,no,no,single
41,services,high.school,yes,no,yes,married
39,self-employed,high.school,no,no,yes,divorced
48,admin.,high.school,no,no,no,divorced
32,blue-collar,basic.6y,yes,no,no,married
35,blue-collar,basic.6y,no,no,no,married
51,blue-collar,basic.9y,yes,no,no,married
35,admin.,university.degree,yes,no,no,single
60,blue-collar,basic.4y,yes,no,no,married
28,admin.,university.degree,no,yes,no,single
52,management,high.school,yes,yes,yes,married
35,blue-collar,basic.9y,no,no,no,married
27,admin.,university.degree,no,no,no,single
34,technician,high.school,no,no,no,married
36,blue-collar,basic.4y,no,yes,no,married
28,blue-collar,basic.9y,no,no,no,married
32,admin.,university.degree,yes,yes,no,married
49,blue-collar,basic.6y,no,no,yes,divorced
55,admin.,basic.9y,yes,yes,no,married
50,technician,high.school,yes,no,yes,married
37,admin.,university.degree,no,no,no,single
35,blue-collar,basic.9y,unknown,unknown,no,divorced
58,unknown,basic.9y,yes,no,yes,married
32,entrepreneur,university.degree,no,no,no,married
35,retired,basic.9y,yes,yes,no,single
35,technician,professional.course,yes,no,no,single
26,admin.,high.school,no,no,no,single
47,blue-collar,professional.course,yes,no,no,married
29,blue-collar,basic.9y,no,no,no,single
37,entrepreneur,basic.9y,yes,no,no,single
32,technician,high.school,no,no,no,single
46,services,high.school,yes,no,no,married
36,services,high.school,no,yes,no,married
35,admin.,university.degree,no,no,yes,married
31,self-employed,university.degree,yes,no,no,married
29,admin.,university.degree,no,no,yes,single
46,housemaid,basic.4y,no,no,no,married
85,housemaid,basic.4y,yes,no,no,divorced
29,technician,basic.9y,no,no,no,single
31,management,university.degree,yes,no,no,single
34,blue-collar,basic.4y,yes,no,no,married
29,technician,professional.course,yes,yes,no,single
46,admin.,university.degree,yes,yes,no,single
29,blue-collar,high.school,no,no,yes,divorced
54,blue-collar,basic.4y,no,no,no,single
26,management,university.degree,yes,no,no,single
27,admin.,professional.course,yes,no,no,married
57,management,basic.4y,yes,no,no,married
32,technician,university.degree,yes,no,no,single
35,services,high.school,yes,no,no,married
32,blue-collar,high.school,unknown,unknown,no,single
59,retired,basic.9y,no,no,no,married
29,blue-collar,basic.9y,yes,no,no,married
37,admin.,high.school,no,yes,no,married
40,admin.,high.school,no,no,no,married
55,admin.,professional.course,yes,yes,no,married
33,housemaid,university.degree,yes,no,no,single
36,admin.,high.school,no,no,no,single
59,admin.,high.school,no,no,no,married
34,blue-collar,basic.9y,no,no,no,single
30,self-employed,professional.course,no,no,no,married
29,admin.,high.school,no,no,no,married
34,blue-collar,basic.9y,no,no,no,single
47,blue-collar,basic.4y,yes,no,no,single
41,entrepreneur,basic.4y,yes,no,no,married
30,admin.,university.degree,yes,no,no,single
33,admin.,high.school,yes,no,no,married
33,unemployed,unknown,no,no,no,single
33,services,high.school,unknown,unknown,no,married
59,retired,basic.4y,yes,yes,no,married
29,services,basic.9y,yes,no,no,married
36,admin.,high.school,no,no,no,married
41,admin.,unknown,yes,no,no,single
55,technician,basic.9y,no,no,no,married
39,entrepreneur,professional.course,yes,no,no,married
48,services,basic.6y,no,no,no,married
56,admin.,university.degree,yes,no,no,married
63,technician,unknown,yes,no,no,married
50,self-employed,basic.9y,no,no,no,married
42,blue-collar,basic.6y,yes,no,no,married
43,unemployed,university.degree,no,no,no,married
32,admin.,university.degree,yes,yes,no,married
28,blue-collar,basic.9y,no,no,no,single
26,blue-collar,professional.course,yes,no,no,married
24,admin.,high.school,yes,no,no,single
38,blue-collar,unknown,no,no,no,divorced
30,services,high.school,yes,no,no,married
29,blue-collar,basic.4y,yes,no,no,single
56,management,university.degree,no,no,no,married
36,blue-collar,basic.9y,yes,yes,yes,single
33,admin.,high.school,yes,no,no,married
47,services,unknown,no,no,no,married
50,housemaid,basic.4y,no,no,no,married
41,services,basic.9y,no,no,no,married
54,entrepreneur,unknown,no,yes,no,divorced
32,blue-collar,basic.9y,unknown,unknown,no,married
38,admin.,university.degree,no,no,no,single
34,management,high.school,yes,yes,no,single
34,blue-collar,basic.9y,no,no,no,married
55,admin.,unknown,yes,yes,no,married
31,self-employed,university.degree,no,no,no,married
43,technician,professional.course,yes,no,no,married
59,unemployed,basic.4y,yes,no,yes,married
53,technician,university.degree,unknown,unknown,yes,married
56,unemployed,professional.course,no,no,no,married
32,entrepreneur,basic.9y,yes,no,no,married
36,blue-collar,basic.9y,yes,no,no,married
42,blue-collar,basic.9y,no,no,no,married
29,admin.,university.degree,yes,no,no,married
33,services,high.school,no,no,no,married
56,technician,unknown,no,no,no,married
31,entrepreneur,high.school,yes,no,no,divorced
34,management,high.school,yes,no,no,married
33,blue-collar,basic.4y,yes,no,no,married
23,housemaid,basic.4y,no,yes,no,single
26,services,high.school,yes,yes,no,single
55,management,university.degree,no,no,no,married
47,services,basic.4y,yes,no,no,divorced
36,blue-collar,professional.course,yes,no,no,married
33,blue-collar,basic.6y,yes,yes,no,married
60,retired,basic.4y,yes,no,no,married
49,entrepreneur,university.degree,yes,no,no,married
35,admin.,high.school,unknown,unknown,no,married
47,admin.,high.school,no,no,no,divorced
30,blue-collar,basic.9y,no,no,no,single
27,blue-collar,basic.9y,no,yes,no,single
36,admin.,high.school,no,no,no,single
46,services,high.school,no,no,no,divorced
30,entrepreneur,basic.6y,no,yes,no,divorced
88,retired,basic.4y,yes,yes,no,divorced
45,services,high.school,no,no,no,divorced
30,admin.,university.degree,yes,yes,no,married
43,technician,basic.9y,yes,no,no,single
48,retired,basic.4y,yes,yes,no,married
56,unemployed,university.degree,yes,no,no,divorced
42,technician,high.school,yes,no,no,single
30,technician,university.degree,yes,yes,no,single
56,housemaid,basic.4y,yes,no,no,divorced
35,technician,high.school,unknown,unknown,no,married
39,services,high.school,no,no,no,single
49,unemployed,high.school,yes,no,no,married
30,admin.,university.degree,yes,no,no,married
39,admin.,university.degree,no,no,no,married
32,technician,university.degree,yes,no,no,single
59,admin.,high.school,no,yes,yes,divorced
38,technician,high.school,unknown,unknown,no,married
49,technician,professional.course,yes,no,no,married
28,admin.,high.school,unknown,unknown,no,married
39,technician,high.school,yes,no,no,married
37,blue-collar,basic.6y,unknown,unknown,no,married
51,services,basic.9y,yes,no,no,married
31,blue-collar,basic.4y,no,yes,no,married
59,technician,basic.9y,yes,no,no,divorced
46,admin.,university.degree,yes,no,no,divorced
36,blue-collar,basic.9y,no,no,no,married
28,management,university.degree,no,no,yes,single
31,admin.,university.degree,yes,no,no,married
26,services,high.school,yes,no,no,single
36,blue-collar,basic.9y,yes,no,no,single
50,entrepreneur,university.degree,yes,no,no,married
41,unemployed,basic.9y,yes,no,no,married
50,self-employed,professional.course,no,no,no,married
32,blue-collar,high.school,no,yes,no,single
56,self-employed,university.degree,no,no,no,married
42,admin.,high.school,yes,no,no,married
38,technician,professional.course,no,no,no,married
36,admin.,university.degree,no,no,no,single
45,blue-collar,basic.6y,yes,no,no,married
52,retired,basic.4y,unknown,unknown,no,married
55,technician,university.degree,no,no,no,married
38,self-employed,university.degree,no,no,no,single
71,retired,basic.4y,yes,yes,no,married
22,services,basic.4y,no,no,no,single
30,admin.,university.degree,no,no,yes,single
78,retired,high.school,yes,no,no,married
30,admin.,university.degree,yes,no,no,divorced
51,blue-collar,basic.6y,yes,no,no,married
35,management,university.degree,unknown,unknown,no,divorced
26,student,unknown,yes,no,no,single
34,services,high.school,no,no,no,married
49,management,university.degree,yes,no,no,married
50,blue-collar,basic.4y,no,no,no,divorced
51,entrepreneur,university.degree,no,no,no,married
57,retired,university.degree,yes,no,no,married
33,admin.,university.degree,yes,no,no,divorced
35,admin.,university.degree,no,no,no,married
37,admin.,high.school,no,no,yes,single
39,admin.,university.degree,yes,no,no,single
39,services,high.school,no,no,no,married
20,student,high.school,no,no,no,single
55,blue-collar,professional.course,yes,no,no,married
27,student,professional.course,no,no,no,single
33,admin.,high.school,no,no,no,married
24,blue-collar,basic.9y,yes,no,no,married
39,management,university.degree,no,no,no,married
55,blue-collar,basic.9y,yes,yes,no,married
35,unknown,basic.9y,no,no,no,married
55,retired,basic.4y,no,no,yes,divorced
42,self-employed,high.school,no,no,no,married
50,self-employed,university.degree,no,no,no,divorced
39,management,university.degree,yes,no,no,married
40,services,high.school,no,no,no,single
51,services,high.school,no,no,no,single
59,retired,university.degree,no,no,no,unknown
54,technician,high.school,no,no,no,married
42,management,university.degree,yes,no,no,married
33,technician,professional.course,yes,yes,no,divorced
26,admin.,basic.4y,yes,yes,no,single
27,management,university.degree,no,no,no,married
30,technician,high.school,yes,no,no,single
42,self-employed,high.school,yes,no,no,married
53,unemployed,university.degree,unknown,unknown,no,married
36,management,university.degree,unknown,unknown,yes,married
29,management,university.degree,yes,no,no,single
45,services,professional.course,unknown,unknown,no,married
35,services,basic.9y,no,no,no,single
33,blue-collar,high.school,yes,no,no,married
38,admin.,university.degree,yes,no,no,married
29,blue-collar,basic.6y,no,yes,no,married
32,admin.,high.school,yes,yes,no,married
34,technician,professional.course,unknown,unknown,no,married
36,blue-collar,high.school,yes,no,no,married
51,management,university.degree,no,no,no,married
34,blue-collar,basic.4y,no,yes,no,married
50,technician,university.degree,yes,yes,no,married
54,blue-collar,basic.4y,no,no,no,married
53,management,university.degree,no,no,no,married
52,blue-collar,high.school,no,no,no,married
71,retired,high.school,no,no,yes,married
52,retired,university.degree,yes,yes,no,married
53,technician,professional.course,no,no,no,married
36,admin.,university.degree,yes,no,no,single
43,admin.,high.school,yes,no,no,married
31,technician,professional.course,no,no,no,single
58,admin.,university.degree,no,no,yes,single
46,technician,university.degree,no,no,no,married
38,blue-collar,basic.6y,no,no,no,married
34,admin.,university.degree,no,no,no,married
37,services,high.school,yes,no,no,married
40,self-employed,university.degree,no,yes,no,single
42,blue-collar,high.school,no,no,no,divorced
40,technician,high.school,no,no,no,single
27,unemployed,high.school,yes,no,no,married
57,unknown,unknown,yes,no,no,married
45,services,high.school,yes,no,no,married
46,admin.,university.degree,yes,yes,no,divorced
47,admin.,university.degree,yes,yes,no,married
56,retired,basic.4y,no,no,no,married
32,entrepreneur,high.school,yes,no,no,married
54,services,unknown,no,no,no,married
58,services,high.school,no,no,no,married
30,admin.,university.degree,yes,no,no,married
39,blue-collar,basic.6y,no,yes,no,married
41,services,high.school,yes,no,no,married
32,admin.,university.degree,yes,no,no,married
32,services,high.school,no,no,no,married
29,management,university.degree,yes,yes,no,single
43,management,high.school,yes,no,no,divorced
41,services,basic.9y,yes,no,no,divorced
30,admin.,university.degree,yes,no,no,married
28,services,high.school,unknown,unknown,no,married
35,admin.,high.school,yes,no,no,single
44,blue-collar,basic.6y,yes,no,no,married
25,blue-collar,high.school,yes,no,no,married
47,blue-collar,basic.9y,yes,no,no,married
32,unemployed,professional.course,yes,no,yes,married
26,student,high.school,no,no,no,single
35,admin.,university.degree,yes,no,no,single
34,blue-collar,basic.9y,no,no,no,married
57,management,university.degree,yes,no,no,divorced
38,blue-collar,basic.6y,no,yes,no,single
33,admin.,high.school,yes,no,no,single
32,admin.,high.school,no,no,no,married
47,blue-collar,basic.4y,yes,yes,no,married
34,blue-collar,basic.6y,no,no,no,single
36,admin.,high.school,yes,no,no,single
28,technician,professional.course,yes,no,no,single
72,retired,university.degree,no,no,no,divorced
27,services,basic.9y,yes,yes,no,single
43,admin.,high.school,yes,yes,no,divorced
39,entrepreneur,university.degree,yes,no,no,single
27,admin.,university.degree,no,no,yes,single
35,admin.,university.degree,yes,no,no,single
34,technician,professional.course,no,no,no,married
36,services,high.school,yes,yes,no,married
39,technician,high.school,no,no,yes,married
35,management,high.school,yes,no,no,divorced
56,retired,basic.4y,no,no,no,married
31,admin.,university.degree,yes,no,yes,single
31,services,high.school,yes,no,no,single
45,admin.,university.degree,no,no,no,single
20,student,unknown,yes,yes,no,single
42,blue-collar,basic.9y,no,no,no,divorced
39,admin.,university.degree,no,no,no,married
45,blue-collar,basic.4y,no,yes,no,married
50,services,high.school,yes,no,no,married
29,admin.,university.degree,no,no,no,single
38,unknown,unknown,no,no,no,married
34,entrepreneur,basic.4y,yes,no,no,married
36,admin.,university.degree,no,no,no,married
35,admin.,university.degree,no,no,no,single
41,technician,professional.course,no,no,no,married
42,admin.,university.degree,yes,no,no,single
39,technician,professional.course,yes,no,no,married
34,blue-collar,basic.6y,no,yes,no,married
52,admin.,high.school,no,no,no,married
47,admin.,university.degree,yes,no,yes,divorced
59,management,university.degree,no,no,no,married
37,services,high.school,no,yes,no,married
33,management,university.degree,yes,no,no,married
35,blue-collar,basic.9y,yes,no,no,married
33,admin.,high.school,yes,no,no,married
40,technician,university.degree,yes,yes,no,single
39,admin.,university.degree,no,no,no,married
32,technician,university.degree,yes,no,no,married
29,technician,high.school,yes,no,no,single
32,admin.,high.school,no,no,yes,single
35,admin.,university.degree,yes,no,no,divorced
36,admin.,university.degree,yes,no,yes,married
38,blue-collar,basic.4y,no,no,no,married
32,admin.,university.degree,yes,no,no,married
32,admin.,university.degree,no,no,no,single
34,self-employed,high.school,yes,no,no,single
42,admin.,university.degree,yes,yes,yes,single
28,technician,basic.9y,no,no,no,single
53,technician,professional.course,no,no,no,married
27,services,basic.9y,no,no,no,single
43,entrepreneur,professional.course,yes,yes,no,married
51,unemployed,professional.course,yes,yes,yes,married
35,blue-collar,basic.6y,no,no,no,single
42,admin.,university.degree,yes,no,no,married
36,technician,professional.course,no,yes,no,single
35,blue-collar,basic.9y,no,no,no,divorced
38,services,basic.9y,no,no,no,married
45,blue-collar,basic.6y,no,no,no,married
24,blue-collar,basic.9y,yes,no,no,single
30,technician,university.degree,yes,no,no,married
31,entrepreneur,basic.4y,no,no,no,divorced
30,management,university.degree,yes,no,no,married
68,retired,university.degree,yes,no,yes,married
50,blue-collar,basic.6y,no,no,no,married
32,unemployed,university.degree,yes,no,no,married
55,services,high.school,no,yes,no,married
31,admin.,high.school,yes,yes,no,married
55,services,basic.4y,no,yes,no,married
37,admin.,high.school,unknown,unknown,no,married
41,blue-collar,basic.4y,unknown,unknown,no,single
34,self-employed,university.degree,yes,no,no,single
33,blue-collar,basic.9y,no,no,yes,married
42,services,high.school,no,no,no,married
56,admin.,university.degree,no,no,no,married
46,entrepreneur,basic.9y,no,no,no,married
42,admin.,high.school,no,no,no,single
33,admin.,university.degree,yes,no,no,divorced
53,technician,professional.course,yes,no,no,married
43,self-employed,basic.4y,no,yes,no,married
52,services,basic.6y,no,yes,no,married
40,technician,unknown,yes,no,no,single
49,housemaid,university.degree,no,yes,no,single
41,admin.,university.degree,yes,no,no,married
26,blue-collar,basic.4y,yes,yes,no,single
39,blue-collar,basic.9y,no,no,no,divorced
33,blue-collar,basic.9y,no,no,no,married
36,admin.,basic.6y,yes,no,no,single
33,blue-collar,basic.9y,no,yes,no,married
36,services,high.school,no,no,no,married
61,self-employed,university.degree,no,no,no,divorced
40,admin.,basic.9y,no,no,no,married
31,technician,professional.course,no,no,no,single
41,blue-collar,basic.4y,yes,no,no,married
39,services,high.school,yes,no,no,married
39,admin.,high.school,no,no,no,divorced
38,management,university.degree,yes,no,no,married
47,management,high.school,no,yes,no,married
24,admin.,high.school,yes,no,no,single
45,blue-collar,high.school,no,no,no,divorced
34,technician,unknown,no,no,no,divorced
51,entrepreneur,basic.9y,yes,no,no,married
53,unknown,professional.course,no,no,no,married
24,technician,professional.course,yes,no,no,single
24,services,high.school,no,no,no,married
35,technician,university.degree,yes,no,no,married
71,retired,university.degree,yes,no,no,single
27,admin.,university.degree,yes,yes,no,single
32,services,high.school,no,no,no,married
56,technician,university.degree,no,yes,no,divorced
35,services,high.school,yes,no,no,single
35,technician,professional.course,yes,yes,no,single
38,services,basic.9y,yes,no,no,single
52,services,high.school,yes,no,no,single
27,admin.,university.degree,yes,no,no,single
35,student,unknown,no,no,no,single
40,technician,professional.course,no,no,no,married
38,blue-collar,high.school,yes,no,no,married
32,management,university.degree,no,no,no,single
35,admin.,high.school,no,no,no,married
28,blue-collar,professional.course,yes,no,no,single
25,blue-collar,basic.4y,no,no,no,married
28,admin.,university.degree,no,no,no,single
31,technician,university.degree,no,no,yes,married
38,technician,university.degree,no,no,yes,married
53,services,high.school,yes,no,no,married
32,technician,professional.course,yes,no,no,divorced
73,retired,professional.course,yes,no,no,married
34,admin.,high.school,yes,no,no,single
64,housemaid,unknown,yes,no,yes,married
41,technician,university.degree,yes,no,no,divorced
51,blue-collar,basic.4y,no,yes,yes,married
34,technician,university.degree,no,no,no,married
50,management,unknown,yes,no,no,married
39,retired,high.school,no,no,no,single
34,technician,professional.course,yes,no,no,married
37,housemaid,basic.9y,yes,no,no,divorced
40,admin.,high.school,yes,no,no,married
38,admin.,university.degree,yes,no,no,married
41,admin.,university.degree,yes,no,no,divorced
38,admin.,university.degree,yes,no,no,married
47,technician,high.school,yes,no,no,divorced
23,blue-collar,basic.9y,yes,no,no,single
30,blue-collar,basic.9y,no,no,no,single
49,technician,university.degree,yes,no,no,married
51,admin.,basic.6y,yes,no,no,married
36,technician,professional.course,yes,no,no,single
49,blue-collar,basic.6y,no,no,no,married
21,student,professional.course,no,no,no,single
34,unemployed,high.school,no,no,no,married
45,blue-collar,basic.4y,yes,no,yes,married
54,unemployed,basic.9y,no,no,yes,married
34,services,high.school,no,no,no,married
36,blue-collar,basic.6y,no,no,no,married
45,admin.,professional.course,no,no,no,single
37,admin.,university.degree,no,no,no,married
32,blue-collar,basic.9y,yes,no,no,single
51,admin.,basic.4y,no,no,no,married
35,blue-collar,basic.6y,no,no,no,married
36,admin.,university.degree,yes,yes,no,single
32,admin.,basic.9y,yes,no,no,divorced
34,services,high.school,no,no,no,married
51,technician,university.degree,yes,no,no,married
24,admin.,university.degree,no,no,no,single
37,services,high.school,yes,no,no,married
37,blue-collar,high.school,yes,no,no,married
56,blue-collar,basic.4y,yes,no,no,married
27,admin.,high.school,yes,no,no,single
59,retired,basic.9y,yes,no,no,divorced
54,retired,basic.4y,no,yes,yes,married
34,blue-collar,high.school,no,no,no,married
36,housemaid,basic.6y,yes,no,no,married
54,blue-collar,professional.course,yes,yes,no,married
30,admin.,high.school,yes,no,no,married
37,management,university.degree,yes,no,no,married
46,technician,professional.course,yes,no,no,married
50,services,basic.9y,yes,no,no,married
35,services,university.degree,unknown,unknown,no,single
78,retired,basic.4y,no,no,yes,married
27,services,high.school,no,no,yes,single
55,technician,university.degree,no,no,no,married
51,retired,basic.9y,yes,no,no,married
41,technician,professional.course,yes,yes,no,married
54,retired,high.school,no,no,no,married
46,admin.,high.school,yes,no,no,divorced
30,admin.,university.degree,no,no,no,married
33,blue-collar,basic.9y,yes,no,no,single
38,services,high.school,no,no,no,divorced
36,blue-collar,high.school,no,no,no,married
36,blue-collar,unknown,yes,no,no,married
46,technician,professional.course,yes,no,no,divorced
40,admin.,university.degree,yes,no,no,married
38,blue-collar,university.degree,no,no,yes,single
35,technician,professional.course,yes,no,no,married
55,blue-collar,basic.4y,no,no,no,divorced
49,blue-collar,basic.9y,no,no,no,married
36,admin.,high.school,no,no,no,single
42,admin.,university.degree,no,yes,no,married
48,admin.,unknown,yes,no,no,divorced
40,management,university.degree,no,no,no,single
53,technician,professional.course,yes,no,no,married
42,blue-collar,high.school,no,no,no,married
40,admin.,university.degree,yes,no,no,married
38,admin.,university.degree,yes,no,no,single
34,admin.,university.degree,yes,no,no,single
36,blue-collar,basic.4y,yes,no,no,single
38,admin.,university.degree,no,no,no,divorced
32,admin.,high.school,no,no,no,married
32,services,basic.4y,no,no,yes,married
49,entrepreneur,university.degree,yes,no,no,married
35,admin.,high.school,no,no,yes,married
38,management,university.degree,no,no,no,married
38,technician,university.degree,yes,no,no,single
28,blue-collar,high.school,no,no,no,single
26,technician,professional.course,yes,no,yes,single
27,admin.,high.school,no,no,no,single
59,retired,basic.6y,yes,no,no,married
26,services,high.school,no,no,no,single
38,technician,professional.course,yes,no,no,single
39,entrepreneur,basic.6y,yes,no,no,single
30,services,unknown,yes,no,no,married
40,technician,university.degree,no,no,no,married
37,admin.,university.degree,yes,no,no,divorced
31,services,basic.9y,no,no,no,married
47,admin.,university.degree,yes,no,no,divorced
54,blue-collar,high.school,yes,yes,no,married
32,management,university.degree,yes,yes,no,married
41,technician,professional.course,unknown,unknown,no,married
55,technician,professional.course,no,yes,no,married
80,retired,basic.4y,no,no,yes,married
29,technician,professional.course,no,no,no,married
32,admin.,university.degree,yes,no,yes,single
47,admin.,university.degree,no,no,no,single
49,blue-collar,basic.4y,no,no,no,divorced
33,blue-collar,basic.6y,no,no,yes,married
51,admin.,high.school,no,no,no,married
40,entrepreneur,university.degree,yes,no,no,married
44,services,high.school,no,no,yes,divorced
28,self-employed,basic.9y,yes,no,no,single
46,technician,professional.course,no,no,no,married
46,entrepreneur,university.degree,yes,no,no,married
52,self-employed,basic.9y,yes,no,no,married
25,student,high.school,no,no,no,single
31,entrepreneur,basic.6y,yes,no,no,single
38,blue-collar,unknown,no,no,no,divorced
52,blue-collar,basic.4y,yes,no,no,married
39,admin.,university.degree,no,yes,yes,divorced
44,admin.,high.school,yes,no,yes,divorced
39,admin.,high.school,yes,no,no,single
54,retired,basic.4y,yes,no,yes,married
55,retired,university.degree,yes,no,no,married
46,admin.,basic.9y,yes,no,no,divorced
55,blue-collar,basic.4y,yes,no,no,divorced
45,services,high.school,yes,no,no,married
29,blue-collar,basic.9y,no,yes,yes,single
46,technician,professional.course,no,no,no,divorced
50,unknown,unknown,yes,no,no,married
39,blue-collar,basic.4y,yes,yes,no,married
50,admin.,university.degree,no,yes,no,married
34,admin.,university.degree,no,no,no,married
36,entrepreneur,university.degree,no,no,no,married
29,blue-collar,basic.4y,yes,yes,no,single
43,housemaid,basic.4y,no,yes,no,married
42,unemployed,high.school,no,no,no,married
51,housemaid,unknown,yes,no,no,married
26,blue-collar,basic.9y,yes,no,no,single
31,student,unknown,yes,no,yes,single
47,blue-collar,basic.4y,yes,yes,no,married
54,blue-collar,basic.9y,yes,no,no,single
40,technician,professional.course,yes,no,no,married
29,admin.,university.degree,no,yes,yes,married
39,blue-collar,basic.9y,yes,no,no,married
55,blue-collar,basic.4y,no,no,no,married
43,technician,professional.course,no,no,no,married
26,self-employed,university.degree,no,no,no,single
33,technician,professional.course,yes,no,no,divorced
42,entrepreneur,basic.4y,yes,no,no,married
36,admin.,university.degree,yes,no,no,married
33,blue-collar,basic.6y,yes,no,yes,married
36,technician,high.school,yes,yes,no,single
45,unknown,unknown,no,no,no,married
39,technician,professional.course,no,no,no,married
36,admin.,university.degree,yes,no,yes,unknown
28,admin.,university.degree,no,no,no,married
38,blue-collar,basic.9y,no,no,no,married
49,blue-collar,basic.4y,no,no,no,married
38,management,university.degree,no,no,no,single
36,blue-collar,basic.9y,no,no,no,single
51,blue-collar,university.degree,yes,no,no,married
57,retired,professional.course,no,yes,no,married
44,services,high.school,yes,no,yes,divorced
27,admin.,university.degree,yes,no,yes,single
58,management,university.degree,yes,no,no,divorced
28,services,high.school,no,no,no,single
41,admin.,university.degree,no,no,yes,married
34,blue-collar,basic.9y,yes,no,no,married
29,services,high.school,yes,yes,yes,single
55,blue-collar,basic.4y,no,no,no,divorced
37,technician,university.degree,yes,no,yes,single
18,student,unknown,yes,no,no,single
39,blue-collar,professional.course,yes,no,no,married
36,blue-collar,basic.9y,no,no,no,married
34,blue-collar,basic.9y,no,yes,no,married
35,blue-collar,basic.9y,yes,no,no,married
36,unemployed,university.degree,no,no,no,married
55,admin.,high.school,no,yes,yes,married
50,blue-collar,basic.4y,no,no,yes,married
37,blue-collar,professional.course,yes,no,no,married
24,student,high.school,no,no,no,single
57,technician,university.degree,no,yes,no,married
59,retired,high.school,yes,no,no,divorced
32,admin.,university.degree,yes,yes,no,single
36,self-employed,professional.course,yes,yes,no,divorced
48,management,university.degree,yes,yes,yes,married
33,admin.,university.degree,unknown,unknown,no,single
43,technician,professional.course,yes,no,no,divorced
39,blue-collar,unknown,no,no,no,married
26,blue-collar,high.school,no,no,no,single
47,admin.,high.school,yes,no,no,divorced
24,technician,professional.course,yes,no,no,single
35,self-employed,university.degree,no,no,no,married
26,student,basic.9y,yes,no,no,single
31,unemployed,university.degree,yes,no,no,single
33,blue-collar,high.school,no,no,yes,single
53,admin.,high.school,yes,yes,no,single
43,technician,professional.course,no,no,yes,married
34,technician,professional.course,yes,yes,no,single
41,technician,professional.course,yes,no,no,single
33,blue-collar,basic.6y,no,no,no,married
33,technician,professional.course,no,no,no,married
47,technician,unknown,yes,no,no,married
29,admin.,high.school,yes,yes,no,married
25,blue-collar,basic.9y,no,no,no,single
35,admin.,high.school,no,no,no,married
29,technician,professional.course,yes,no,no,married
57,retired,university.degree,no,no,no,married
49,unemployed,basic.6y,no,no,no,married
35,admin.,university.degree,yes,no,no,married
31,blue-collar,basic.6y,no,no,no,married
43,admin.,high.school,no,no,no,married
34,blue-collar,basic.6y,yes,no,no,married
38,admin.,university.degree,yes,no,no,single
43,admin.,university.degree,yes,no,no,married
38,management,university.degree,yes,no,no,married
46,blue-collar,professional.course,no,no,no,married
39,admin.,high.school,no,no,no,single
47,entrepreneur,professional.course,no,no,no,married
25,blue-collar,basic.4y,yes,no,no,single
38,management,high.school,no,no,no,married
36,technician,professional.course,no,yes,no,married
30,admin.,university.degree,yes,no,yes,married
34,admin.,university.degree,yes,no,yes,single
47,self-employed,university.degree,unknown,unknown,no,married
46,entrepreneur,high.school,yes,no,no,married
45,admin.,basic.9y,yes,no,no,married
38,housemaid,university.degree,yes,no,no,married
30,housemaid,high.school,yes,no,no,married
31,management,university.degree,yes,no,no,divorced
52,admin.,high.school,no,no,no,divorced
48,unemployed,basic.4y,no,yes,no,divorced
27,blue-collar,basic.6y,no,no,no,single
43,blue-collar,basic.4y,yes,no,no,married
45,blue-collar,basic.6y,no,no,no,married
32,admin.,university.degree,yes,yes,no,married
30,admin.,university.degree,yes,no,no,married
60,retired,professional.course,yes,no,no,married
32,admin.,basic.9y,yes,no,no,single
32,blue-collar,basic.9y,no,no,no,married
54,entrepreneur,university.degree,yes,no,no,married
53,management,high.school,yes,no,no,married
36,admin.,unknown,no,no,no,single
27,technician,high.school,yes,no,no,single
29,blue-collar,basic.6y,no,no,no,married
